,date,state,positive,positiveIncrease,death,deathIncrease,hospitalizedCurrently,hospitalizedIncrease
94,20210306,OH,977736.0,1506,17656.0,0,922.0,66
95,20210306,OK,428536.0,978,4534.0,0,346.0,120
96,20210306,OR,156884.0,211,2293.0,9,158.0,15
97,20210306,PA,946985.0,2789,24317.0,55,1513.0,0
98,20210306,PR,101327.0,261,2059.0,3,147.0,0
99,20210306,RI,128516.0,395,2547.0,6,141.0,0
100,20210306,SC,524457.0,1199,8719.0,20,623.0,54
101,20210306,SD,113378.0,149,1898.0,2,74.0,11
102,20210306,TN,782206.0,1312,11543.0,9,879.0,33
103,20210306,TX,2683865.0,5570,44367.0,233,4921.0,0
104,20210306,UT,374438.0,570,1975.0,5,216.0,26
105,20210306,VA,584537.0,1477,9519.0,91,1164.0,123
106,20210306,VI,2714.0,0,25.0,0,,0
107,20210306,VT,15964.0,145,208.0,1,26.0,0
108,20210306,WA,343868.0,778,5041.0,9,431.0,56
109,20210306,WI,621277.0,614,7102.0,8,260.0,45
110,20210306,WV,133290.0,326,2323.0,5,196.0,0
111,20210306,WY,54764.0,0,682.0,0,21.0,0
112,20210305,AK,56886.0,141,305.0,2,33.0,3
113,20210305,AL,498887.0,811,10122.0,28,526.0,169
114,20210305,AR,324326.0,570,5283.0,10,359.0,27
115,20210305,AS,0.0,0,0.0,0,,0
116,20210305,AZ,823384.0,2276,16269.0,84,1043.0,72
117,20210305,CA,3493126.0,4659,53448.0,400,4714.0,0
118,20210305,CO,434654.0,1633,5986.0,12,356.0,72
119,20210305,CT,285330.0,830,7704.0,11,428.0,0
120,20210305,DC,41122.0,108,1027.0,3,160.0,0
121,20210305,DE,87874.0,231,1453.0,9,127.0,0
122,20210305,FL,1900598.0,5876,32093.0,138,3419.0,302
123,20210305,GA,1019509.0,2081,17815.0,65,2099.0,115
124,20210305,GU,7748.0,1,133.0,2,2.0,0
125,20210305,HI,28561.0,95,443.0,2,28.0,0
126,20210305,IA,281765.0,374,5549.0,13,176.0,0
127,20210305,ID,172587.0,299,1876.0,0,139.0,20
128,20210305,IL,1194702.0,1442,22946.0,44,1166.0,0
129,20210305,IN,665285.0,839,12697.0,34,730.0,60
130,20210305,KS,295861.0,752,4812.0,-4,235.0,32
131,20210305,KY,409345.0,905,4754.0,22,606.0,16
132,20210305,LA,433045.0,518,9716.0,30,538.0,0
133,20210305,MA,588209.0,1899,16322.0,26,716.0,0
134,20210305,MD,385678.0,913,7930.0,8,849.0,74
135,20210305,ME,45452.0,225,704.0,-1,74.0,11
136,20210305,MI,654380.0,1791,16601.0,12,866.0,0
137,20210305,MN,488170.0,796,6534.0,13,224.0,42
138,20210305,MO,479966.0,430,8158.0,8,1019.0,0
139,20210305,MP,144.0,0,2.0,0,,0
140,20210305,MS,296745.0,591,6783.0,19,445.0,0
141,20210305,MT,100656.0,125,1379.0,4,67.0,2
142,20210305,NC,870149.0,2093,11446.0,47,1226.0,0
143,20210305,ND,100278.0,94,1478.0,0,22.0,0
144,20210305,NE,202310.0,337,2112.0,20,143.0,69
145,20210305,NH,76422.0,244,1178.0,0,90.0,-1
146,20210305,NJ,806370.0,3701,23521.0,30,1881.0,1117
147,20210305,NM,186460.0,304,3787.0,18,183.0,14
148,20210305,NV,295460.0,391,5020.0,15,393.0,0
149,20210305,NY,1666733.0,8956,38891.0,95,5034.0,0
150,20210305,OH,976230.0,1750,17656.0,467,919.0,87
151,20210305,OK,427558.0,917,4534.0,0,366.0,54
152,20210305,OR,156673.0,386,2284.0,32,154.0,17
153,20210305,PA,944196.0,2757,24262.0,43,1587.0,0
154,20210305,PR,101066.0,199,2056.0,3,136.0,0
155,20210305,RI,128121.0,394,2541.0,2,141.0,18
156,20210305,SC,523258.0,1695,8699.0,39,664.0,63
157,20210305,SD,113229.0,164,1896.0,0,74.0,17
158,20210305,TN,780894.0,1445,11534.0,33,939.0,58
159,20210305,TX,2678295.0,6853,44134.0,256,5065.0,0
160,20210305,UT,373868.0,1160,1970.0,15,238.0,58
161,20210305,VA,583060.0,1652,9428.0,71,1222.0,100
162,20210305,VI,2714.0,10,25.0,0,,0
163,20210305,VT,15819.0,133,207.0,0,26.0,0
164,20210305,WA,343090.0,854,5032.0,20,413.0,34
165,20210305,WI,620663.0,721,7094.0,12,260.0,57
166,20210305,WV,132964.0,287,2318.0,9,200.0,0
167,20210305,WY,54764.0,79,682.0,0,21.0,2
168,20210304,AK,56745.0,140,303.0,0,32.0,5
169,20210304,AL,498076.0,922,10094.0,65,544.0,84
170,20210304,AR,323756.0,403,5273.0,12,397.0,50
171,20210304,AS,0.0,0,0.0,0,,0
172,20210304,AZ,821108.0,1154,16185.0,96,1072.0,50
173,20210304,CA,3488467.0,3504,53048.0,273,4967.0,0
174,20210304,CO,433021.0,1351,5974.0,4,355.0,56
175,20210304,CT,284500.0,878,7693.0,15,433.0,0
176,20210304,DC,41014.0,196,1024.0,1,170.0,0
177,20210304,DE,87643.0,218,1444.0,4,130.0,0
178,20210304,FL,1894722.0,5997,31955.0,126,3566.0,322
179,20210304,GA,1017428.0,2886,17750.0,125,2191.0,143
180,20210304,GU,7747.0,2,131.0,0,5.0,0
181,20210304,HI,28466.0,59,441.0,0,28.0,-1
182,20210304,IA,281391.0,400,5536.0,35,184.0,0
183,20210304,ID,172288.0,452,1876.0,5,139.0,13
184,20210304,IL,1193260.0,1740,22902.0,49,1200.0,0
185,20210304,IN,664446.0,935,12663.0,30,692.0,89
186,20210304,KS,295109.0,0,4816.0,0,203.0,0
187,20210304,KY,408440.0,1067,4732.0,28,645.0,60
188,20210304,LA,432527.0,756,9686.0,18,554.0,0
189,20210304,MA,586310.0,1567,16296.0,44,741.0,0
190,20210304,MD,384765.0,809,7922.0,3,856.0,81
191,20210304,ME,45227.0,136,705.0,0,69.0,4
192,20210304,MI,652589.0,1827,16589.0,39,890.0,0
193,20210304,MN,487374.0,940,6521.0,14,229.0,33
194,20210304,MO,479536.0,467,8150.0,2,999.0,0
195,20210304,MP,144.0,0,2.0,0,,0
196,20210304,MS,296154.0,479,6764.0,21,448.0,0
197,20210304,MT,100531.0,180,1375.0,2,73.0,8
198,20210304,NC,868056.0,2502,11399.0,36,1290.0,0
199,20210304,ND,100184.0,117,1478.0,0,22.0,4
200,20210304,NE,201973.0,365,2092.0,1,151.0,10
201,20210304,NH,76178.0,188,1178.0,3,92.0,4
202,20210304,NJ,802669.0,3193,23491.0,42,1900.0,87
203,20210304,NM,186156.0,258,3769.0,16,177.0,25
204,20210304,NV,295069.0,385,5005.0,18,407.0,0
205,20210304,NY,1657777.0,7593,38796.0,61,5177.0,0
206,20210304,OH,974480.0,1875,17189.0,0,1009.0,82
207,20210304,OK,426641.0,895,4534.0,0,404.0,39
208,20210304,OR,156287.0,250,2252.0,27,165.0,29
209,20210304,PA,941439.0,3028,24219.0,50,1628.0,0
210,20210304,PR,100867.0,102,2053.0,5,171.0,0
211,20210304,RI,127727.0,442,2539.0,5,148.0,20
212,20210304,SC,521563.0,1567,8660.0,40,734.0,41
213,20210304,SD,113065.0,232,1896.0,3,87.0,10
214,20210304,TN,779449.0,1514,11501.0,42,970.0,37
215,20210304,TX,2671442.0,8028,43878.0,315,5263.0,0
216,20210304,UT,372708.0,0,1955.0,0,247.0,0
217,20210304,VA,581408.0,1300,9357.0,31,1352.0,60
218,20210304,VI,2704.0,9,25.0,0,,0
219,20210304,VT,15686.0,199,207.0,0,27.0,0
220,20210304,WA,342236.0,795,5012.0,24,461.0,33
221,20210304,WI,619942.0,855,7082.0,13,262.0,51
222,20210304,WV,132677.0,261,2309.0,0,193.0,0
223,20210304,WY,54685.0,69,682.0,0,23.0,1
224,20210303,AK,56605.0,177,303.0,1,26.0,-1
225,20210303,AL,497154.0,2733,10029.0,38,559.0,24
226,20210303,AR,323353.0,404,5261.0,7,397.0,31
227,20210303,AS,0.0,0,0.0,0,,0
228,20210303,AZ,819954.0,1284,16089.0,29,1165.0,106
229,20210303,CA,3484963.0,3352,52775.0,278,5110.0,0
230,20210303,CO,431670.0,1055,5970.0,11,389.0,142
231,20210303,CT,283622.0,494,7678.0,20,451.0,0
232,20210303,DC,40818.0,51,1023.0,4,177.0,0
233,20210303,DE,87425.0,232,1440.0,14,135.0,0
234,20210303,FL,1888725.0,5860,31829.0,133,3596.0,306
235,20210303,GA,1014542.0,2735,17625.0,145,2299.0,118
236,20210303,GU,7745.0,3,131.0,0,4.0,0
237,20210303,HI,28407.0,17,441.0,2,26.0,0
238,20210303,IA,280991.0,482,5501.0,3,191.0,0
239,20210303,ID,171836.0,374,1871.0,4,121.0,20
240,20210303,IL,1191520.0,2104,22853.0,50,1260.0,0
241,20210303,IN,663511.0,761,12633.0,10,731.0,93
242,20210303,KS,295109.0,807,4816.0,73,203.0,65
243,20210303,KY,407373.0,1172,4704.0,33,680.0,70
244,20210303,LA,431771.0,500,9668.0,21,588.0,0
245,20210303,MA,584743.0,1899,16252.0,70,755.0,269
246,20210303,MD,383956.0,786,7919.0,14,863.0,71
247,20210303,ME,45091.0,147,705.0,2,67.0,9
248,20210303,MI,650762.0,1705,16550.0,6,882.0,0
249,20210303,MN,486434.0,779,6507.0,17,243.0,37
250,20210303,MO,479069.0,387,8148.0,216,989.0,0
251,20210303,MP,144.0,1,2.0,0,,0
252,20210303,MS,295675.0,380,6743.0,19,469.0,0
253,20210303,MT,100351.0,193,1373.0,1,67.0,9
254,20210303,NC,865554.0,2145,11363.0,75,1303.0,0
255,20210303,ND,100067.0,110,1478.0,1,20.0,-3
256,20210303,NE,201608.0,262,2091.0,7,150.0,7
257,20210303,NH,75990.0,187,1175.0,5,89.0,4
258,20210303,NJ,799476.0,3691,23449.0,128,1921.0,133
259,20210303,NM,185898.0,356,3753.0,13,195.0,42
260,20210303,NV,294684.0,395,4987.0,20,440.0,0
261,20210303,NY,1650184.0,7704,38735.0,75,5323.0,0
262,20210303,OH,972605.0,2022,17189.0,0,1081.0,110
263,20210303,OK,425746.0,747,4534.0,0,427.0,65
264,20210303,OR,156037.0,250,2225.0,13,184.0,32
265,20210303,PA,938411.0,2577,24169.0,69,1648.0,0
266,20210303,PR,100765.0,30,2048.0,8,169.0,0
267,20210303,RI,127285.0,436,2534.0,9,147.0,16
268,20210303,SC,519996.0,1173,8620.0,44,706.0,73
269,20210303,SD,112833.0,181,1893.0,5,97.0,14
270,20210303,TN,777935.0,1598,11459.0,23,1033.0,63
271,20210303,TX,2663414.0,7822,43563.0,297,5508.0,0
272,20210303,UT,372708.0,729,1955.0,6,247.0,30
273,20210303,VA,580108.0,1549,9326.0,383,1352.0,96
274,20210303,VI,2695.0,49,25.0,0,,0
275,20210303,VT,15487.0,115,207.0,1,24.0,0
276,20210303,WA,341441.0,733,4988.0,19,467.0,61
277,20210303,WI,619087.0,780,7069.0,19,267.0,57
278,20210303,WV,132416.0,232,2309.0,8,197.0,0
279,20210303,WY,54616.0,89,682.0,0,24.0,3
280,20210302,AK,56428.0,89,302.0,2,26.0,7
281,20210302,AL,494421.0,652,9991.0,60,631.0,51
282,20210302,AR,322949.0,440,5254.0,4,416.0,32
283,20210302,AS,0.0,0,0.0,0,,0
284,20210302,AZ,818670.0,849,16060.0,81,1202.0,2
285,20210302,CA,3481611.0,2533,52497.0,303,5302.0,0
286,20210302,CO,430615.0,776,5959.0,7,395.0,43
287,20210302,CT,283128.0,502,7658.0,7,413.0,0
288,20210302,DC,40767.0,83,1019.0,0,177.0,0
289,20210302,DE,87193.0,113,1426.0,4,151.0,0
290,20210302,FL,1882865.0,7047,31696.0,140,3674.0,313
291,20210302,GA,1011807.0,3147,17480.0,104,2348.0,162
292,20210302,GU,7742.0,5,131.0,0,4.0,0
293,20210302,HI,28390.0,35,439.0,0,31.0,12
294,20210302,IA,280509.0,230,5498.0,26,209.0,0
295,20210302,ID,171462.0,322,1867.0,7,121.0,35
296,20210302,IL,1189416.0,1577,22803.0,44,1231.0,0
297,20210302,IN,662750.0,537,12623.0,28,765.0,47
298,20210302,KS,294302.0,0,4743.0,0,165.0,0
299,20210302,KY,406201.0,1075,4671.0,19,684.0,91
300,20210302,LA,431271.0,767,9647.0,19,629.0,0
301,20210302,MA,582844.0,301,16182.0,38,775.0,0
302,20210302,MD,383170.0,468,7905.0,26,896.0,83
303,20210302,ME,44944.0,182,703.0,0,69.0,7
304,20210302,MI,649057.0,1642,16544.0,25,959.0,0
305,20210302,MN,485655.0,425,6490.0,4,243.0,99
306,20210302,MO,478682.0,266,7932.0,13,1025.0,0
307,20210302,MP,143.0,0,2.0,0,,0
308,20210302,MS,295295.0,301,6724.0,43,457.0,150
309,20210302,MT,100158.0,155,1372.0,15,83.0,7
310,20210302,NC,863409.0,1239,11288.0,34,1353.0,0
311,20210302,ND,99957.0,105,1477.0,2,24.0,3
312,20210302,NE,201346.0,400,2084.0,2,154.0,34
313,20210302,NH,75803.0,215,1170.0,0,88.0,1
314,20210302,NJ,795785.0,3289,23321.0,48,1915.0,140
315,20210302,NM,185542.0,245,3740.0,11,199.0,21
316,20210302,NV,294289.0,309,4967.0,10,459.0,0
317,20210302,NY,1642480.0,5800,38660.0,83,5369.0,0
318,20210302,OH,970583.0,1736,17189.0,-157,1131.0,121
319,20210302,OK,424999.0,111,4534.0,56,447.0,4
320,20210302,OR,155787.0,190,2212.0,4,158.0,51
321,20210302,PA,935834.0,2564,24100.0,74,1670.0,0
322,20210302,PR,100735.0,151,2040.0,3,162.0,0
323,20210302,RI,126849.0,261,2525.0,8,157.0,19
324,20210302,SC,518823.0,847,8576.0,14,706.0,22
325,20210302,SD,112652.0,182,1888.0,0,92.0,8
326,20210302,TN,776337.0,644,11436.0,15,991.0,59
327,20210302,TX,2655592.0,7747,43266.0,271,5644.0,0
328,20210302,UT,371979.0,487,1949.0,9,237.0,29
329,20210302,VA,578559.0,1385,8943.0,160,1345.0,100
330,20210302,VI,2646.0,0,25.0,0,,0
331,20210302,VT,15372.0,88,206.0,1,24.0,0
332,20210302,WA,340708.0,935,4969.0,13,473.0,53
333,20210302,WI,618307.0,607,7050.0,36,275.0,64
334,20210302,WV,132184.0,136,2301.0,1,210.0,0
335,20210302,WY,54527.0,56,682.0,11,24.0,1
336,20210301,AK,56339.0,350,300.0,10,25.0,2
337,20210301,AL,493769.0,517,9931.0,2,651.0,220
338,20210301,AR,322509.0,94,5250.0,7,441.0,0
339,20210301,AS,0.0,0,0.0,0,,0
340,20210301,AZ,817821.0,1039,15979.0,-1,1241.0,-10
341,20210301,CA,3479078.0,3516,52194.0,215,5409.0,0
342,20210301,CO,429839.0,1536,5952.0,1,427.0,74
343,20210301,CT,282626.0,2680,7651.0,29,417.0,0
344,20210301,DC,40684.0,86,1019.0,2,168.0,0
345,20210301,DE,87080.0,281,1422.0,0,151.0,0
346,20210301,FL,1875818.0,1664,31556.0,150,3686.0,87
347,20210301,GA,1008660.0,2139,17376.0,81,2348.0,50
348,20210301,GU,7737.0,1,131.0,0,3.0,0
349,20210301,HI,28355.0,29,439.0,0,31.0,0
350,20210301,IA,280279.0,240,5472.0,1,197.0,0
351,20210301,ID,171140.0,0,1860.0,0,162.0,0
352,20210301,IL,1187839.0,1143,22759.0,24,1288.0,0
353,20210301,IN,662213.0,540,12595.0,22,763.0,40
354,20210301,KS,294302.0,639,4743.0,8,165.0,41
355,20210301,KY,405126.0,504,4652.0,15,719.0,42
356,20210301,LA,430504.0,404,9628.0,20,629.0,0
357,20210301,MA,582543.0,1395,16144.0,26,788.0,0
358,20210301,MD,382702.0,603,7879.0,10,904.0,69
359,20210301,ME,44762.0,128,703.0,0,62.0,2
360,20210301,MI,647415.0,1865,16519.0,11,893.0,0
361,20210301,MN,485230.0,636,6486.0,3,230.0,8
362,20210301,MO,478416.0,192,7919.0,0,1066.0,0
363,20210301,MP,143.0,0,2.0,0,,0
364,20210301,MS,294994.0,199,6681.0,0,455.0,0
365,20210301,MT,100003.0,49,1357.0,0,68.0,3
366,20210301,NC,862170.0,3622,11254.0,42,1319.0,0
367,20210301,ND,99852.0,43,1475.0,3,25.0,4
368,20210301,NE,200946.0,98,2082.0,0,158.0,4
369,20210301,NH,75588.0,164,1170.0,0,90.0,0
370,20210301,NJ,792496.0,3140,23273.0,21,1865.0,64
371,20210301,NM,185297.0,165,3729.0,13,186.0,19
372,20210301,NV,293980.0,226,4957.0,0,464.0,0
373,20210301,NY,1636680.0,6235,38577.0,80,5307.0,0
374,20210301,OH,968847.0,1425,17346.0,49,1181.0,103
375,20210301,OK,424888.0,380,4478.0,50,484.0,10
376,20210301,OR,155597.0,282,2208.0,0,177.0,0
377,20210301,PA,933270.0,1628,24026.0,5,1715.0,0
